rank_linear,rank_bern,country,eluc_debt_linear_GtCO2yr,eluc_debt_bern_GtCO2,cumul_fossil_Gt,cumul_luc_Gt,annual_fossil_2024_Mt,annual_luc_2024_Mt,data_start,data_end
1,1,United States,35569.3,287.13,434.87,125.85,4904.1,112.1,1800,2024
2,3,Russia,15733.8,115.65,122.81,107.7,1780.5,385.9,1830,2024
3,2,China,11019.6,229.3,285.09,81.69,12289.0,-319.4,1850,2024
4,9,United Kingdom,6885.9,39.15,80.08,3.28,312.9,-4.5,1750,2024
5,4,Brazil,5923.5,78.05,18.2,121.45,483.0,1599.7,1850,2024
6,7,Germany,5823.3,48.12,95.14,0.01,572.3,-5.0,1792,2024
7,6,Indonesia,5177.7,52.56,17.42,78.57,812.2,576.2,1850,2024
8,5,India,4756.1,63.47,66.07,42.04,3193.5,7.5,1850,2024
9,10,Canada,4676.0,38.89,35.64,40.4,533.3,111.9,1785,2024
10,8,Japan,2869.2,42.8,69.61,5.54,961.9,5.5,1850,2024
11,11,Ukraine,2861.8,22.11,31.24,13.44,142.5,5.6,1830,2024
12,14,France,2124.8,18.64,40.05,-3.92,264.2,-12.2,1802,2024
13,25,Colombia,1834.1,11.65,3.8,20.74,92.7,14.5,1850,2024
14,12,Mexico,1785.8,19.71,22.02,14.11,461.0,-37.2,1850,2024
15,18,Poland,1675.5,15.42,29.04,0.44,272.9,-28.9,1800,2024
16,17,Thailand,1605.2,15.99,8.31,21.76,267.8,112.2,1850,2024
17,13,Australia,1568.8,18.84,20.04,13.97,386.7,41.7,1750,2024
18,32,Myanmar,1403.2,8.24,0.73,16.47,31.6,74.3,1850,2024
19,30,Philippines,1275.4,9.4,3.98,14.65,174.9,42.8,1850,2024
20,23,Argentina,1246.9,12.49,9.15,13.94,171.1,144.4,1850,2024
21,15,South Africa,1236.3,16.98,22.83,7.22,439.8,3.8,1850,2024
22,16,Democratic Republic of Congo,1233.1,16.5,0.24,27.18,5.9,648.2,1850,2024
23,20,Italy,1173.3,14.63,26.01,0.41,301.9,-12.3,1850,2024
24,33,Cote d'Ivoire,1101.7,8.13,0.4,14.86,14.8,237.6,1750,2024
25,27,Kazakhstan,963.7,10.37,14.94,4.16,287.0,-7.8,1830,2024
26,31,Nigeria,950.5,9.02,4.71,12.53,135.8,43.5,1850,2024
27,24,Malaysia,925.4,11.92,7.04,13.95,290.2,62.0,1850,2024
28,36,Belgium,895.4,6.65,12.91,0.42,85.5,3.8,1802,2024
29,28,Spain,837.7,9.79,15.7,2.03,220.3,-10.5,1830,2024
30,34,Venezuela,828.8,7.48,7.89,6.47,116.0,9.9,1850,2024
31,26,Turkey,817.7,11.48,12.89,6.86,513.0,-9.5,1850,2024
32,43,Belarus,766.0,4.99,5.18,5.12,55.8,-3.5,1830,2024
33,29,Vietnam,750.6,9.65,5.67,10.58,370.9,113.2,1850,2024
34,39,Romania,713.4,6.07,8.86,3.18,68.6,-21.4,1850,2024
35,19,Iran,713.3,15.25,21.81,2.41,792.6,24.3,1850,2024
36,38,Czechia,700.5,6.22,12.33,-0.22,75.6,-5.7,1850,2024
37,35,Netherlands,654.0,7.21,12.26,1.08,114.8,5.1,1750,2024
38,54,Sweden,607.0,3.61,5.13,2.42,38.1,8.0,1834,2024
39,44,Bolivia,546.1,4.87,0.64,8.38,28.7,110.9,1750,2024
40,46,Angola,543.6,4.27,0.74,7.42,22.3,50.0,1850,2024
41,49,Chile,472.4,4.13,3.32,4.49,78.7,9.6,1844,2024
42,40,Ethiopia,469.2,5.5,0.33,8.9,17.8,214.0,1750,2024
43,21,South Korea,462.1,13.57,20.71,0.36,583.7,-3.6,1850,2024
44,63,Guinea,462.0,2.87,0.11,5.74,4.0,49.8,1750,2024
45,56,Finland,459.7,3.56,3.32,3.62,29.8,33.3,1850,2024
46,57,Madagascar,435.9,3.47,0.11,6.79,4.5,31.0,1850,2024
47,47,Peru,432.5,4.25,2.16,5.87,70.2,16.7,1850,2024
48,45,Tanzania,379.5,4.79,0.34,8.18,20.0,79.0,1850,2024
49,59,Austria,374.8,3.12,5.75,0.25,56.4,-0.7,1807,2024
50,22,Saudi Arabia,373.8,12.68,19.02,0.16,692.1,0.5,1850,2024
51,58,Ecuador,365.2,3.16,1.39,4.8,46.0,-12.2,1850,2024
52,62,Hungary,365.1,2.9,5.18,0.59,40.0,-10.7,1830,2024
53,60,Bangladesh,363.3,3.04,2.0,3.66,108.3,14.8,1750,2024
54,55,Zambia,357.3,3.6,0.3,6.41,12.0,62.6,1850,2024
55,66,Denmark,355.6,2.79,4.2,1.38,28.4,2.0,1843,2024
56,64,Cuba,353.8,2.85,1.81,4.0,24.4,-0.1,1850,2024
57,68,New Zealand,336.6,2.62,2.01,3.12,32.5,13.7,1750,2024
58,42,Pakistan,316.6,5.06,5.74,2.82,179.8,-17.2,1850,2024
59,52,North Korea,312.1,3.89,5.49,1.68,62.6,10.0,1850,2024
60,61,Greece,307.1,3.0,4.3,1.37,53.4,-20.4,1850,2024
61,80,Serbia,300.9,1.99,2.92,1.17,42.0,-16.4,1850,2024
62,73,Nicaragua,298.1,2.25,0.2,4.41,5.6,9.4,1850,2024
63,65,Cambodia,294.0,2.82,0.25,5.11,21.9,43.4,1750,2024
64,100,Lithuania,287.8,1.36,1.61,1.39,12.5,-0.7,1830,2024
65,77,Ghana,280.9,2.11,0.43,3.83,21.0,13.5,1750,2024
66,67,Bulgaria,278.5,2.64,3.98,1.15,31.6,-7.8,1850,2024
67,72,Slovakia,262.8,2.36,4.03,0.55,29.1,1.3,1850,2024
68,50,Uzbekistan,261.6,4.12,6.75,0.4,139.2,-0.8,1830,2024
69,70,Guatemala,251.1,2.47,0.52,4.16,19.9,29.6,1750,2024
70,79,Norway,250.9,2.01,2.79,1.05,37.2,7.7,1750,2024
71,84,Honduras,246.8,1.81,0.31,3.39,12.9,13.2,1750,2024
72,69,Mozambique,239.5,2.54,0.21,4.41,8.6,30.6,1850,2024
73,94,Congo,232.7,1.59,0.19,2.89,8.8,17.3,1850,2024
74,91,Mongolia,226.3,1.69,0.86,2.43,44.7,1.6,1850,2024
75,88,Sri Lanka,225.2,1.72,0.57,2.82,20.8,10.4,1850,2024
76,89,Papua New Guinea,224.7,1.72,0.21,2.78,8.3,28.0,1750,2024
77,37,Taiwan,223.3,6.44,10.09,0.0,262.3,0.0,1750,2024
78,78,Cameroon,221.6,2.03,0.31,3.46,9.6,23.5,1850,2024
79,48,Algeria,215.4,4.17,5.48,1.31,198.2,2.5,1850,2024
80,75,Paraguay,202.2,2.18,0.21,3.9,7.9,15.3,1850,2024
81,97,Uganda,196.8,1.52,0.13,2.96,6.3,4.6,1850,2024
82,106,Sierra Leone,193.0,1.19,0.04,2.35,1.4,8.2,1750,2024
83,76,Kenya,192.4,2.14,0.55,3.36,21.2,13.2,1850,2024
84,41,Egypt,180.1,5.07,7.47,0.38,258.4,2.8,1850,2024
85,74,Morocco,179.2,2.18,2.02,1.89,69.1,-12.8,1850,2024
86,82,Switzerland,174.7,1.84,3.16,0.28,32.1,-0.1,1850,2024
87,101,Panama,174.6,1.32,0.36,2.33,12.7,2.0,1850,2024
88,105,Costa Rica,174.1,1.21,0.29,2.26,8.8,-1.0,1850,2024
89,81,Laos,170.6,1.97,0.24,3.31,24.4,19.4,1850,2024
90,53,Iraq,170.6,3.81,5.35,0.64,233.6,2.3,1850,2024
91,118,Latvia,164.1,0.89,0.98,0.92,6.5,2.9,1830,2024
92,87,Azerbaijan,157.8,1.77,2.64,0.61,39.8,2.7,1830,2024
93,103,Nepal,156.0,1.26,0.23,2.24,18.8,6.7,1850,2024
94,83,Portugal,151.7,1.81,2.77,0.49,35.5,4.1,1850,2024
95,114,Croatia,149.4,1.05,1.18,0.95,18.5,-2.6,1850,2024
96,102,Dominican Republic,149.1,1.29,0.87,1.63,33.1,0.1,1750,2024
97,95,Zimbabwe,143.6,1.58,0.83,2.18,13.7,-1.8,1750,2024
98,119,Bosnia and Herzegovina,134.2,0.82,1.04,0.59,19.4,-0.6,1850,2024
99,112,Liberia,133.8,1.06,0.05,1.99,0.9,24.3,1850,2024
100,116,Estonia,129.8,0.94,1.67,0.22,8.3,-0.2,1830,2024
101,90,Sudan,118.1,1.71,0.52,2.51,17.8,8.9,1850,2024
102,110,Niger,117.4,1.12,0.06,1.87,3.2,6.4,1850,2024
103,107,South Sudan,117.0,1.18,0.05,2.14,1.7,15.0,1850,2024
104,120,Togo,111.8,0.75,0.08,1.53,2.8,2.0,1850,2024
