rank,country,iso3,forest_area_Mha,carbon_stock_GtCO2
1,Russia,RUS,815.1,901.3
2,Brazil,BRA,496.6,483.6
3,Canada,CAN,346.9,344.4
4,United States,USA,309.6,326.1
5,Dem. Rep. Congo,COD,152.6,172.2
6,China,CHN,219.9,131.9
7,Australia,AUS,134.0,102.6
8,Indonesia,IDN,92.1,91.6
9,Peru,PER,72.3,87.9
10,Colombia,COL,59.1,73.3
11,Bolivia,BOL,54.8,62.3
12,Venezuela,VEN,45.0,51.3
13,Mexico,MEX,66.0,47.6
14,Papua New Guinea,PNG,35.9,44.0
15,Gabon,GAB,24.0,33.0
16,Congo,COG,23.5,29.3
17,Angola,AGO,66.0,29.3
18,Malaysia,MYS,19.1,28.6
19,Cent. African Rep.,CAF,22.4,28.6
20,Guyana,GUY,18.5,26.0
21,India,IND,72.2,25.6
22,Suriname,SUR,15.2,22.7
23,Argentina,ARG,28.0,22.0
24,Cameroon,CMR,19.0,22.0
25,Chile,CHL,17.4,20.2
26,Japan,JPN,24.9,19.8
27,Mozambique,MOZ,38.3,18.3
28,Myanmar,MMR,29.0,18.3
29,Ecuador,ECU,12.9,15.4
30,Tanzania,TZA,49.3,14.7
31,Zambia,ZMB,47.7,14.7
32,Sweden,SWE,28.1,14.7
33,Finland,FIN,22.5,12.5
34,France,FRA,17.0,10.3
35,Paraguay,PRY,15.2,10.3
36,Germany,DEU,11.4,8.1
37,Laos,LAO,15.0,8.1
38,Thailand,THA,16.1,7.7
39,Spain,ESP,18.6,7.3
40,Norway,NOR,13.0,7.0
41,Madagascar,MDG,9.4,6.6
42,New Zealand,NZL,8.7,6.6
43,Vietnam,VNM,14.7,6.2
44,Poland,POL,9.7,5.9
45,Liberia,LBR,4.5,5.9
46,Turkey,TUR,12.4,5.1
47,South Sudan,SSD,11.4,5.1
48,Cambodia,KHM,8.3,4.4
49,Philippines,PHL,7.2,4.4
50,Guinea,GIN,6.4,4.4
51,Ethiopia,ETH,12.3,4.4
52,Belarus,BLR,9.2,4.4
53,Italy,ITA,10.5,4.4
54,Ukraine,UKR,10.2,4.0
55,Mongolia,MNG,12.4,4.0
56,Honduras,HND,5.0,4.0
57,Nigeria,NGA,11.1,3.7
58,Iran,IRN,12.4,3.7
59,Sudan,SDN,18.5,3.7
60,Romania,ROU,6.9,3.7
61,Panama,PAN,3.3,3.7
62,South Korea,KOR,6.3,3.4
63,South Africa,ZAF,9.1,3.3
64,Zimbabwe,ZWE,10.8,3.3
65,Austria,AUT,3.9,3.3
66,Guatemala,GTM,3.5,3.3
67,North Korea,PRK,5.6,3.0
68,Ghana,GHA,6.2,2.9
69,Cote d'Ivoire,CIV,6.3,2.9
70,Mali,MLI,12.5,2.9
71,Costa Rica,CRI,3.2,2.9
72,Nicaragua,NIC,2.8,2.7
73,Nepal,NPL,3.9,2.6
74,Bhutan,BTN,2.7,2.4
75,Kenya,KEN,3.6,2.2
76,Kazakhstan,KAZ,3.3,2.2
77,Burkina Faso,BFA,6.0,2.2
78,Czechia,CZE,2.7,2.2
79,Latvia,LVA,3.5,2.2
80,Cuba,CUB,4.1,2.2
81,Senegal,SEN,9.3,2.0
82,Bulgaria,BGR,4.2,2.0
83,United Kingdom,GBR,3.2,1.8
84,Sierra Leone,SLE,2.7,1.8
85,Pakistan,PAK,4.5,1.6
86,Slovakia,SVK,2.0,1.6
87,Estonia,EST,2.3,1.5
88,Portugal,PRT,3.4,1.5
89,Bosnia and Herzegovina,BIH,2.7,1.5
90,Croatia,HRV,2.2,1.4
91,Morocco,MAR,5.8,1.4
92,Sri Lanka,LKA,2.3,1.3
93,Serbia,SRB,2.7,1.3
94,Switzerland,CHE,1.3,1.2
95,Lithuania,LTU,2.2,1.2
96,Georgia,GEO,2.8,1.2
97,Hungary,HUN,2.0,1.0
98,Dominican Republic,DOM,2.2,1.0
99,Slovenia,SVN,1.3,1.0
100,Malawi,MWI,3.6,0.9
101,Greece,GRC,4.1,0.9
102,Turkmenistan,TKM,4.1,0.8
103,Algeria,DZA,1.9,0.7
104,Uzbekistan,UZB,3.3,0.7
105,Uruguay,URY,1.9,0.7
106,Fiji,FJI,1.0,0.7
107,Bangladesh,BGD,1.5,0.5
108,Azerbaijan,AZE,1.2,0.5
109,Niger,NER,1.3,0.4
110,Belgium,BEL,0.7,0.4
111,Kyrgyzstan,KGZ,1.2,0.4
112,North Macedonia,MKD,1.0,0.4
113,Ireland,IRL,0.8,0.4
114,Montenegro,MNE,0.5,0.3
115,Albania,ALB,0.8,0.3
116,Rwanda,RWA,0.5,0.2
117,Netherlands,NLD,0.4,0.2
118,Tunisia,TUN,0.7,0.2
119,Iraq,IRQ,0.8,0.2
120,Saudi Arabia,SAU,1.0,0.2
121,Armenia,ARM,0.4,0.2
122,El Salvador,SLV,0.3,0.2
123,Trinidad and Tobago,TTO,0.2,0.2
124,Jamaica,JAM,0.3,0.2
125,Moldova,MDA,0.4,0.2
126,United Arab Emirates,ARE,0.3,0.1
127,Oman,OMN,0.6,0.1
128,Israel,ISR,0.2,0.1
129,Syria,SYR,0.5,0.1
130,Tajikistan,TJK,0.4,0.1
131,Libya,LBY,0.2,0.0
132,Egypt,EGY,0.1,0.0
133,Jordan,JOR,0.1,0.0
134,Lebanon,LBN,0.1,0.0
135,Haiti,HTI,0.1,0.0
136,Iceland,ISL,0.1,0.0
